Спортсмен,Unnamed: 1,Команда,ДР,Рост,Вес
Хайдо Алексули,,Греция,,,
Хабитам Алему,,Эфиопия,09.07.1997,,
Эрик Алехандро,,Пуэрто-Рико,15.04.1986,,
Каме Али,,Мадагаскар,21.05.1984,,
Ния Али,,США,23.10.1988,,
Ахмед Али,,Судан,15.11.1993,,
Мехбуб Али,,Пакистан,10.04.1990,,
Гаджи Алиев,,Азербайджан,21.04.1991,170.0,65.0
Пирмаммад Алиев,,Казахстан,02.11.1997,170.0,63.0
Кимия Ализаде Зенурин,,Иран,10.07.1998,,
Алексей Алипов,,Россия,07.09.1975,,
Антонио Алкана,,ЮАР,,,
Клэр Аллан,,Великобритания,07.05.1985,170.0,65.0
Флоренс Аллан,,Каймановы острова,26.05.1998,168.0,57.0
Елена Аллен,,Великобритания,12.07.1972,,
Дивон Аллен,,США,,,
Жулио Алмейда,,Бразилия,23.09.1969,180.0,90.0
Тереза Алмейда,,Ангола,05.05.1988,178.0,
Сесар Алмейда,,Бразилия,06.01.1989,187.0,
Брэндон Алмейда,,Бразилия,16.03.1997,,
Ивес Алонсо Гонсалес,,Бразилия,12.10.1980,191.0,102.0
Михаил Алоян,,Россия,23.08.1988,164.0,
Павел Алтухов,,Украина,,,
Мазун Аль-Алави,,Оман,14.11.1997,,
Аталла Аль-Анази,,Саудовская Аравия,22.02.1988,174.0,74.0
Мири Аль-Атрас,,Палестина,27.06.1994,,
Нассер Салех Аль-Аттия,,Катар,21.12.1970,170.0,85.0
Ахмад Аль-Афаси,,МОК,,,
Ахмед Аль-Ахмар,,Египет,27.01.1984,184.0,
Айеша Шахрияр Мохаммед Аль-Балуши,,ОАЭ,23.01.1992,160.0,57.0
Нада Аль-Бедвани,,ОАЭ,15.08.1997,,
Султан Мубарак Аль-Давуди,,Саудовская Аравия,16.06.1977,,
Фехаид Аль-Дихани,,МОК,11.10.1966,180.0,100.0
Мохсен Аль-Духайлиб,,Саудовская Аравия,01.05.1994,163.0,69.0
Халед Аль-Кааби,,ОАЭ,25.06.1985,168.0,85.0
Саид Аль-Мактум,,ОАЭ,01.10.1976,,
Фатема Аль-Махмид,,Бахрейн,14.06.1999,,
Халед Аль-Мудхаф,,МОК,,,
Бассел Аль-Райес,,Катар,04.03.1979,180.0,
Абдулла Аль-Рашиди,,МОК,21.08.1963,180.0,95.0
Али Аль-Румаихи,,Катар,,,
Якуб Аль-Саади,,ОАЭ,,,
Шейх Али Аль-Тани,,Катар,,,
Абдулрахман Аль-Файхан,,МОК,,,
Жасмин Аль-Хальди,,Филиппины,20.06.1993,,
Баракат Мубарак Аль-Харти,,Оман,15.06.1988,,
Хамед Саид Аль-Хатри,,Оман,24.05.1985,,
Мохаммед Аль-Хафаджи,,Ирак,20.02.1994,181.0,75.0
Ноа Аль-Хулаифи,,Катар,,,
Михаэль Альбазини,,Швейцария,20.12.1980,172.0,67.0
Матиас Альбарассин,,Аргентина,,,
Агустина Альбертарио,,Аргентина,01.01.1993,165.0,55.0
Нели Карла Альберто,,Испания,02.07.1983,179.0,
Ислам-Бека Альбиев,,Россия,28.12.1988,,
Сантьяго Альварес,,Аргентина,17.01.1994,188.0,93.0
Альберто Альварес,,Мексика,08.03.1991,,
Серхио Альварес Мойя,,Испания,,,
Ласаро Альварес Эстрада,,Куба,28.01.1991,,
Мигель Альварино Гарсия,,Испания,31.05.1994,180.0,82.0
Юри Альвеар,,Колумбия,29.03.1986,174.0,70.0
Линда Альготссон,,Швеция,,,
Сара Альготссон Остхольт,,Швеция,08.12.1974,162.0,55.0
Фатима Алькарамова,,Азербайджан,26.06.2002,,
Йенни Альм,,Швеция,10.04.1989,184.0,
Кристиан Альман,,Германия,17.12.1974,,
Мустафа Альсальтикрад,,Катар,16.03.1987,186.0,90.0
Хулио Альсогорай,,Аргентина,,,
Ида Альстад,,Норвегия,13.06.1985,172.0,
Тереса Альсхаммар,,Швеция,26.08.1977,180.0,65.0
Табеа Альт,,Германия,18.03.2000,158.0,50.0
Лиза Альтенбург,,Германия,23.09.1989,155.0,58.0
Жулиан Аляфилипп,,Франция,11.06.1992,173.0,62.0
Исабелла Амадо,,Панама,,,
Андрей Амадор Биккасакова,,Коста-Рика,29.08.1986,,
Мохаммед Аман,,Эфиопия,10.01.1994,,
Алекс Аманква,,Гана,02.03.1992,,
Ранохон Аманова,,Узбекистан,08.03.1994,,
Уилли Амбака,,Кения,14.05.1990,194.0,100.0
Маэль Амбонгилат,,Габон,09.11.1997,,
Сабрина Амегино,,Аргентина,,,
Мохамед Амер,,Египет,12.12.1987,187.0,
Одри Амиэль,,Франция,03.03.1987,164.0,65.0
Нгусе Амлосом,,Эритрея,10.11.1986,,
Ле Ру Амман,,ЮАР,,,
Кристиан Амоа,,Гана,25.07.1999,184.0,84.0
Эндрю Амонде,,Кения,25.12.1983,190.0,104.0
Эдуарда Аморим,,Бразилия,23.09.1986,186.0,
Марва Амри,,Тунис,08.01.1989,160.0,58.0
Бьон Хун Ан,,Южная Корея,17.09.1991,,
Хрисула Анагностопулу,,Греция,27.08.1991,,
Ясемин Анагоз,,Турция,14.10.1998,165.0,66.0
Зоя Ананченко,,Казахстан,05.09.1996,165.0,67.0
Фара Анашарси,,Франция,,,
Шезана Анвар,,Кения,21.08.1989,160.0,55.0
Эмили Андеоль,,Франция,30.10.1987,170.0,78.0
Фрида Андерсен,,Швеция,,,
Хейли Андерсон,,США,20.11.1991,178.0,68.0
Маттиас Андерссон,,Швеция,29.03.1978,185.0,
Ким Андерссон,,Швеция,21.08.1982,199.0,
Микико Андо,,Япония,30.09.1992,,
Ребека Андраде,,Бразилия,08.05.1999,145.0,45.0
Рафаэль Андраде,,Бразилия,07.05.1986,168.0,
Жордин Андраде,,Кабо-Верде,,,
Леонид Андреев,,Узбекистан,,,
Виктория Андреева,,Россия,21.06.1992,188.0,75.0
Софья Андреева,,Россия,02.08.1998,,
Мария Андрейчик,,Польша,,,
