август,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,Unnamed: 20_level_0
Легкая атлетика,,,,,,,,,,3  Мужчины  20:30  Ходьба 20 км  Женщины  17:10  10000 м  04:00  Ядро,5  Мужчины  16:50  Диск  02:50  Длина  03:25  10000 м  Женщины  04:35  100 м  04:53  Семиборье,4  Мужчины  04:00  400 м  04:25  100 м  Женщины  15:30  Марафон  02:55  Тройной прыжок,5  Мужчины  02:35  Шест  04:25  800 м  Женщины  16:40  Молот  17:15  3000 м с/п  04:45  400 м,5  Мужчины  15:50  Тройной прыжок  02:30  Высота  04:45  110 м с/б  Женщины  17:20  Диск  04:30  1500 м,4  Мужчины  17:50  3000 м с/п  Женщины  03:15  Длина  04:30  200 м  04:55  100 м с/б,6  Мужчины  18:00  400 м с/б  02:30  Ядро  03:15  Десятиборье  04:30  200 м  Женщины  03:10  Копье  04:15  400 м с/б,7  Мужчины  14:00  Ходьба 50 км  03:05  Молот  04:35  Эстафета 4х100 м  Женщины  20:30  Ходьба 20 км  02:30  Шест  03:40  5000 м  04:15  Эстафета 4х100 м,7  Мужчины  02:55  Копье  03:00  1500 м  03:30  5000 м  04:35  Эстафета 4х400 м  Женщины  02:30  Высота  03:15  800 м  04:00  Эстафета 4х400 м,1  Мужчины  15:30  Марафон,47
Маунтинбайк,,,,,,,,,,,,,,,,,,1  Женщины  18:00  Финал,1  Мужчины  18:30  Финал,2
Настольный теннис,,,,•,•,,•,1  Женщины  03:30  Личное первенство,1  Мужчины  03:30  Личное первенство,•,•,•,•,1  Женщины  01:30  Командное первенство,1  Мужчины  01:30  Командное первенство,,,,,4
Парус,,,,,,•,•,•,•,•,•,2  Мужчины  19:00  RS:X  Женщины  19:00  RS:X,•,4  Мужчины  19:50  Лазер  20:30  Финн  Женщины  19:00  Лазер-Радиал  Микст  21:20  Накра 17,,4  Мужчины  19:50  470  20:35  49-ые  Женщины  19:00  470  21:20  49-ые,,,,10
Плавание,,,,4  Мужчины  04:20  400 м в/с  04:00  400 м комплекс  Женщины  04:40  400 м комплекс  05:15  Эстафета 4х100 м в/с,4  Мужчины  04:50  100 м брасс  05:50  Эстафета 4х100 м в/с  Женщины  05:00  400 м в/с  04:00  100 м баттерфляй,4  Мужчины  04:20  200 м в/с  04:40  100 м н/с  Женщины  04:30  100 м н/с  04:55  100 м брасс,4  Мужчины  04:15  200 м баттерфляй  05:40  Эстафета 4х200 м в/с  Женщины  04:10  200 м в/с  05:10  200 м комплекс,4  Мужчины  05:05  100 м в/с  04:00  200 м брасс  Женщины  04:55  200 м баттерфляй  05:55  Эстафета 4х200 м в/с,4  Мужчины  04:25  200 м н/с  05:00  200 м комплекс  Женщины  05:20  100 м в/с  04:15  200 м брасс,4  Мужчины  04:40  50 м в/с  04:10  100 м баттерфляй  Женщины  04:20  800 м в/с  04:00  200 м н/с,4  Мужчины  04:10  1500 м в/с  05:00  Эстафета 4х100 м комбинированная  Женщины  04:00  50 м в/с  04:45  Эстафета 4х100 м комбинированная,,"1  Женщины  15:00  10 км, открытая вода","1  Мужчины  15:00  10 км, открытая вода",,,,,,34
Прыжки в воду,,,,,1  Женщины  22:00  Трамплин 3 м. Синхронные прыжки,1  Мужчины  22:00  Вышка 10 м. Синхронные прыжки,1  Женщины  22:00  Вышка 10 м. Синхронные прыжки,1  Мужчины  22:00  Трамплин 3 м. Синхронные прыжки,,•,•,1  Женщины  22:00  Трамплин 3 м,•,1  Мужчины  23:30  Трамплин 3 м,•,1  Женщины  22:00  Вышка 10 м,•,1  Мужчины  22:30  Вышка 10 м,,8
Регби,,,,•,•,1  Женщины  01:00  Финал,•,•,1  Мужчины  01:00  Финал,,,,,,,,,,,2
Синхронное плавание,,,,,,,,,,,,•,•,1  Женщины  20:00  Дуэты,,•,1  Женщины  18:00  Группы,,,2
Современное пятиборье,,,,,,,,,,,,,,,,•,1  Женщины  23:55  Финал (кросс + стрельба),1  Мужчины  23:55  Финал (кросс + стрельба),,2
Спортивная гимнастика,,,,•,•,1  Мужчины  22:00  Командное первенство,1  Женщины  22:00  Командное первенство,1  Мужчины  22:00  Многоборье,1  Женщины  22:00  Многоборье,,,4  Мужчины  20:00  Вольные упражнения  21:30  Конь  Женщины  20:45  Опорный прыжок  22:15  Брусья,3  Мужчины  20:00  Кольца  20:55  Опорный прыжок  Женщины  21:30  Бревно,3  Мужчины  20:00  Брусья  21:30  Перекладина  Женщины  20:45  Вольные упражнения,,,,,,14
Стрельба,,,,"2  Мужчины  21:30  Пневматический пистолет, 10 м  Женщины  16:30  Пневматическая винтовка, 10 м","2  Женщины  17:00  Пневматический пистолет, 10 м  21:45  Трап","2  Мужчины  18:00  Пневматическая винтовка, 10 м  21:00  Трап","1  Женщины  21:30  Пневматический пистолет, 25 м","2  Мужчины  18:00  Пневматический пистолет, 50 м  21:10  Дубль-трап","1  Женщины  18:00  Малокалиберная винтовка, из 3-х положений, 50 м","2  Мужчины  17:10  Малокалиберная винтовка лежа, 50 м  Женщины  21:00  Скит","2  Мужчины  18:30  Скоростной пистолет, 25 м  21:00  Скит","1  Мужчины  19:00  Малокалиберная винтовка, из 3-х положений, 50 м",,,,,,,,15
Стрельба из лука,,,•,1  Мужчины  23:10  Командное первенство,1  Женщины  23:10  Командное первенство,,•,,1  Женщины  22:45  Личное первенство,1  Мужчины  22:45  Личное первенство,,,,,,,,,,4
Тхэквондо,,,,,,,,,,,,,,,2  Мужчины  04:15  до 58 кг  Женщины  04:00  до 49 кг,2  Мужчины  04:15  до 68 кг  Женщины  04:00  до 57 кг,2  Мужчины  04:15  до 80 кг  Женщины  04:00  до 67 кг,2  Мужчины  04:15  свыше 80 кг  Женщины  04:00  свыше 67 кг,,8
Теннис,,,,•,•,•,•,,•,1  Мужчины  01:15  Парный разряд,1  Женщины  23:40  Одиночный разряд,3  Мужчины  23:05  Одиночный разряд  Женщины  18:10  Парный разряд  Микст  20:30  Парный разряд,,,,,,,,5
Триатлон,,,,,,,,,,,,,,,,1  Мужчины  17:00  Финал,,1  Женщины  17:00  Финал,,2
Тяжелая атлетика,,,,1  Женщины  01:00  Весовая категория до 48 кг,2  Мужчины  01:00  Весовая категория до 56 кг  Женщины  21:30  Весовая категория до 53 кг,2  Мужчины  01:00  Весовая категория до 62 кг  Женщины  21:30  Весовая категория до 58 кг,2  Мужчины  01:00  Весовая категория до 69 кг  Женщины  21:30  Весовая категория до 63 кг,2  Мужчины  01:00  Весовая категория до 77 кг  Женщины  21:30  Весовая категория до 69 кг,,2  Мужчины  01:00  Весовая категория до 85 кг  Женщины  21:30  Весовая категория до 75 кг,1  Мужчины  01:00  Весовая категория до 94 кг,1  Женщины  01:00  Весовая категория свыше 75 кг,1  Мужчины  01:00  Весовая категория до 105 кг,1  Мужчины  01:00  Весовая категория свыше 105 кг,,,,,,15
Фехтование,,,,"1  Женщины  23:45  Шпага, личное первенство","1  Мужчины  23:45  Рапира, личное первенство","1  Женщины  23:45  Сабля, личное первенство","1  Мужчины  23:45  Шпага, личное первенство","2  Мужчины  02:45  Сабля, личное первенство  Женщины  02:15  Рапира, личное первенство","1  Женщины  00:30  Шпага, командное первенство","1  Мужчины  00:30  Рапира, командное первенство","1  Женщины  00:15  Сабля, командное первенство","1  Мужчины  00:30  Шпага, командное первенство",,,,,,,,10
Футбол,•,•,,•,•,,•,•,,•,•,,,•,•,,1  Женщины  23:30  Финал,1  Мужчины  23:30  Финал,,2
Хоккей на траве,,,,•,•,•,•,•,•,•,•,•,•,•,•,1  Мужчины  23:00  Финал,1  Женщины  23:00  Финал,,,2
Художественная гимнастика,,,,,,,,,,,,,,,,,•,1  Женщины  21:20  Личное первенство,1  Женщины  17:00  Групповые соревнования,2
Всего медалей,0,0,0,12,14,14,15,18,21,24,21,22,15,27,14,25,22,30,12,306
