0,1
,
Host city,"Tokyo, Japan"
Motto,United by Emotion[a]
Nations,205 (expected)
Athletes,"11,091 (expected)"
Events,339 in 33 sports (50 disciplines)
Opening,23 July 2021
Closing,8 August 2021
Opened by,Emperor Naruhito (expected)
Stadium,Japan National Stadium
Summer,Summer
← Rio 2016 Paris 2024 →,← Rio 2016 Paris 2024 →
← Rio 2016,Paris 2024 →
Winter,Winter
← PyeongChang 2018 Beijing 2022 →,← PyeongChang 2018 Beijing 2022 →
← PyeongChang 2018,Beijing 2022 →
